Include,Index,Color,Sensor Location,Sensor Type,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Dissoc. Loc.,Loading Well Location,Loading Sample ID,Cycle,Conc. (nM),Response,KD (M),KD Error,kon(1/Ms),kon Error,kdis(1/s),kdis Error,RMax,RMax Error,kobs(1/s),Req,Req/Rmax(%),Full X^2,Full R^2,SSG KD,SSG Rmax,SSG R^2,Unnamed: 32,sample_id
x,0,-1264826,A3,SA (Streptavidin),,,A2,A3,C2,A2,A1,IL-7Ra,1,5000,0.1229,1.437e-07,5.523e-09,579400.0,17570.0,0.08323,0.001967,0.1213,0.0006,2.98,0.1179,97.2,0.0646,0.9686,1.4e-07,0.1251,0.9993,,IL7Ra_binder_design_30
x,1,-1264826,B3,SA (Streptavidin),,,B2,B3,C2,B2,B1,IL-7Ra,1,1000,0.1086,1.437e-07,5.523e-09,579400.0,17570.0,0.08323,0.001967,0.1213,0.0006,0.6626,0.106,87.4,0.0646,0.9686,1.4e-07,0.1251,0.9993,,IL7Ra_binder_design_30
x,2,-1264826,C3,SA (Streptavidin),,,C2,C3,C2,C2,C1,IL-7Ra,1,200,0.0751,1.437e-07,5.523e-09,579400.0,17570.0,0.08323,0.001967,0.1213,0.0006,0.1991,0.0706,58.2,0.0646,0.9686,1.4e-07,0.1251,0.9993,,IL7Ra_binder_design_30
x,3,-1264826,D3,SA (Streptavidin),,,D2,D3,C2,D2,D1,IL-7Ra,1,40,0.0286,1.437e-07,5.523e-09,579400.0,17570.0,0.08323,0.001967,0.1213,0.0006,0.1064,0.0264,21.8,0.0646,0.9686,1.4e-07,0.1251,0.9993,,IL7Ra_binder_design_30
x,4,-363184,E3,SA (Streptavidin),,,E2,E3,D2,E2,E1,IL-7Ra,1,5000,0.125,2.187e-06,2.528e-07,104400.0,9079.0,0.2284,0.01741,0.1703,0.0038,0.7506,0.1185,69.6,0.1456,0.8841,1.9e-06,0.171,0.9927,,IL7Ra_binder_design_1
x,5,-363184,F3,SA (Streptavidin),,,F2,F3,D2,F2,F1,IL-7Ra,1,1000,0.0567,2.187e-06,2.528e-07,104400.0,9079.0,0.2284,0.01741,0.1703,0.0038,0.3328,0.0534,31.4,0.1456,0.8841,1.9e-06,0.171,0.9927,,IL7Ra_binder_design_1
x,6,-363184,G3,SA (Streptavidin),,,G2,G3,D2,G2,G1,IL-7Ra,1,200,0.0216,2.187e-06,2.528e-07,104400.0,9079.0,0.2284,0.01741,0.1703,0.0038,0.2493,0.0143,8.4,0.1456,0.8841,1.9e-06,0.171,0.9927,,IL7Ra_binder_design_1
x,7,-363184,H3,SA (Streptavidin),,,H2,H3,D2,H2,H1,IL-7Ra,1,40,0.0085,2.187e-06,2.528e-07,104400.0,9079.0,0.2284,0.01741,0.1703,0.0038,0.2326,0.0031,1.8,0.1456,0.8841,1.9e-06,0.171,0.9927,,IL7Ra_binder_design_1
x,8,-6631722,A4,SA (Streptavidin),,,A2,A4,D3,A2,A1,IL-7Ra,1,5000,0.1312,5.644e-07,3.062e-08,445300.0,17840.0,0.2513,0.009194,0.1438,0.0008,2.478,0.1292,89.9,0.051,0.9788,4.7e-07,0.1426,0.9986,,IL7Ra_binder_design_95
x,9,-6631722,B4,SA (Streptavidin),,,B2,B4,D3,B2,B1,IL-7Ra,1,1000,0.0952,5.644e-07,3.062e-08,445300.0,17840.0,0.2513,0.009194,0.1438,0.0008,0.6966,0.0919,63.9,0.051,0.9788,4.7e-07,0.1426,0.9986,,IL7Ra_binder_design_95
x,10,-6631722,C4,SA (Streptavidin),,,C2,C4,D3,C2,C1,IL-7Ra,1,200,0.043,5.644e-07,3.062e-08,445300.0,17840.0,0.2513,0.009194,0.1438,0.0008,0.3404,0.0376,26.2,0.051,0.9788,4.7e-07,0.1426,0.9986,,IL7Ra_binder_design_95
x,11,-6631722,D4,SA (Streptavidin),,,D2,D4,D3,D2,D1,IL-7Ra,1,40,0.0138,5.644e-07,3.062e-08,445300.0,17840.0,0.2513,0.009194,0.1438,0.0008,0.2691,0.0095,6.6,0.051,0.9788,4.7e-07,0.1426,0.9986,,IL7Ra_binder_design_95
x,12,-12144190,E4,SA (Streptavidin),,,E2,E4,B4,E2,E1,IL-7Ra,1,5000,0.1168,3.258e-07,1.593e-08,602600.0,22000.0,0.1963,0.006385,0.1176,0.0006,3.21,0.1104,93.9,0.0407,0.9778,3.1e-07,0.121,0.9928,,IL7Ra_binder_design_8
x,13,-12144190,F4,SA (Streptavidin),,,F2,F4,B4,F2,F1,IL-7Ra,1,1000,0.0874,3.258e-07,1.593e-08,602600.0,22000.0,0.1963,0.006385,0.1176,0.0006,0.799,0.0887,75.4,0.0407,0.9778,3.1e-07,0.121,0.9928,,IL7Ra_binder_design_8
x,14,-12144190,G4,SA (Streptavidin),,,G2,G4,B4,G2,G1,IL-7Ra,1,200,0.0506,3.258e-07,1.593e-08,602600.0,22000.0,0.1963,0.006385,0.1176,0.0006,0.3168,0.0447,38.0,0.0407,0.9778,3.1e-07,0.121,0.9928,,IL7Ra_binder_design_8
x,15,-12144190,H4,SA (Streptavidin),,,H2,H4,B4,H2,H1,IL-7Ra,1,40,0.0144,3.258e-07,1.593e-08,602600.0,22000.0,0.1963,0.006385,0.1176,0.0006,0.2204,0.0129,10.9,0.0407,0.9778,3.1e-07,0.121,0.9928,,IL7Ra_binder_design_8
x,16,-15506239,A5,SA (Streptavidin),,,A2,A5,G4,A2,A1,IL-7Ra,1,5000,0.0752,2.795e-06,2.641e-07,97730.0,6963.0,0.2731,0.01696,0.1096,0.0022,0.7618,0.0703,64.1,0.0291,0.9401,2e-06,0.1039,0.9665,,IL7Ra_binder_design_48
x,17,-15506239,B5,SA (Streptavidin),,,B2,B5,G4,B2,B1,IL-7Ra,1,1000,0.0313,2.795e-06,2.641e-07,97730.0,6963.0,0.2731,0.01696,0.1096,0.0022,0.3708,0.0289,26.4,0.0291,0.9401,2e-06,0.1039,0.9665,,IL7Ra_binder_design_48
x,18,-15506239,C5,SA (Streptavidin),,,C2,C5,G4,C2,C1,IL-7Ra,1,200,0.0163,2.795e-06,2.641e-07,97730.0,6963.0,0.2731,0.01696,0.1096,0.0022,0.2927,0.0073,6.7,0.0291,0.9401,2e-06,0.1039,0.9665,,IL7Ra_binder_design_48
x,19,-15506239,D5,SA (Streptavidin),,,D2,D5,G4,D2,D1,IL-7Ra,1,40,0.0077,2.795e-06,2.641e-07,97730.0,6963.0,0.2731,0.01696,0.1096,0.0022,0.277,0.0015,1.4,0.0291,0.9401,2e-06,0.1039,0.9665,,IL7Ra_binder_design_48
x,20,-14789540,E5,SA (Streptavidin),,,E2,E5,D6,E2,E1,IL-7Ra,1,5000,0.149,8.008e-08,2.228e-09,905200.0,20270.0,0.07249,0.001197,0.1431,0.0005,4.599,0.1408,98.4,0.0605,0.9821,7.7e-08,0.1474,0.9934,,IL7Ra_binder_design_33
x,21,-14789540,F5,SA (Streptavidin),,,F2,F5,D6,F2,F1,IL-7Ra,1,1000,0.1331,8.008e-08,2.228e-09,905200.0,20270.0,0.07249,0.001197,0.1431,0.0005,0.9777,0.1325,92.6,0.0605,0.9821,7.7e-08,0.1474,0.9934,,IL7Ra_binder_design_33
x,22,-14789540,G5,SA (Streptavidin),,,G2,G5,D6,G2,G1,IL-7Ra,1,200,0.1051,8.008e-08,2.228e-09,905200.0,20270.0,0.07249,0.001197,0.1431,0.0005,0.2535,0.1022,71.4,0.0605,0.9821,7.7e-08,0.1474,0.9934,,IL7Ra_binder_design_33
x,23,-14789540,H5,SA (Streptavidin),,,H2,H5,D6,H2,H1,IL-7Ra,1,40,0.0526,8.008e-08,2.228e-09,905200.0,20270.0,0.07249,0.001197,0.1431,0.0005,0.1087,0.0477,33.3,0.0605,0.9821,7.7e-08,0.1474,0.9934,,IL7Ra_binder_design_33
x,24,-6229,A6,SA (Streptavidin),,,A2,A6,F6,A2,A1,IL-7Ra,1,5000,0.1233,9.404e-08,2.885e-09,885500.0,21590.0,0.08328,0.001551,0.1276,0.0005,4.511,0.1253,98.2,0.0533,0.9813,8.6e-08,0.1304,0.9791,,IL7Ra_binder_design_92
x,25,-6229,B6,SA (Streptavidin),,,B2,B6,F6,B2,B1,IL-7Ra,1,1000,0.1276,9.404e-08,2.885e-09,885500.0,21590.0,0.08328,0.001551,0.1276,0.0005,0.9688,0.1167,91.4,0.0533,0.9813,8.6e-08,0.1304,0.9791,,IL7Ra_binder_design_92
x,26,-6229,C6,SA (Streptavidin),,,C2,C6,F6,C2,C1,IL-7Ra,1,200,0.0873,9.404e-08,2.885e-09,885500.0,21590.0,0.08328,0.001551,0.1276,0.0005,0.2604,0.0868,68.0,0.0533,0.9813,8.6e-08,0.1304,0.9791,,IL7Ra_binder_design_92
x,27,-6229,D6,SA (Streptavidin),,,D2,D6,F6,D2,D1,IL-7Ra,1,40,0.0429,9.404e-08,2.885e-09,885500.0,21590.0,0.08328,0.001551,0.1276,0.0005,0.1187,0.0381,29.8,0.0533,0.9813,8.6e-08,0.1304,0.9791,,IL7Ra_binder_design_92
x,28,-12859347,E6,SA (Streptavidin),,,E2,E6,H6,E2,E1,IL-7Ra,1,5000,0.1313,3.368e-07,1.575e-08,597000.0,20830.0,0.201,0.006264,0.131,0.0006,3.186,0.1227,93.7,0.0443,0.9805,2.8e-07,0.1338,0.9843,,IL7Ra_binder_design_74
x,29,-12859347,F6,SA (Streptavidin),,,F2,F6,H6,F2,F1,IL-7Ra,1,1000,0.0967,3.368e-07,1.575e-08,597000.0,20830.0,0.201,0.006264,0.131,0.0006,0.798,0.098,74.8,0.0443,0.9805,2.8e-07,0.1338,0.9843,,IL7Ra_binder_design_74
x,30,-12859347,G6,SA (Streptavidin),,,G2,G6,H6,G2,G1,IL-7Ra,1,200,0.0579,3.368e-07,1.575e-08,597000.0,20830.0,0.201,0.006264,0.131,0.0006,0.3204,0.0488,37.3,0.0443,0.9805,2.8e-07,0.1338,0.9843,,IL7Ra_binder_design_74
x,31,-12859347,H6,SA (Streptavidin),,,H2,H6,H6,H2,H1,IL-7Ra,1,40,0.0212,3.368e-07,1.575e-08,597000.0,20830.0,0.201,0.006264,0.131,0.0006,0.2249,0.0139,10.6,0.0443,0.9805,2.8e-07,0.1338,0.9843,,IL7Ra_binder_design_74
x,32,-9165123,A7,SA (Streptavidin),,,A2,A7,E7,A2,A1,IL-7Ra,1,5000,0.0881,1.984e-06,1.961e-07,262000.0,18850.0,0.5197,0.03522,0.1164,0.0014,1.83,0.0833,71.6,0.0273,0.9655,1.6e-06,0.1156,0.9932,,IL7Ra_binder_design_37
x,33,-9165123,B7,SA (Streptavidin),,,B2,B7,E7,B2,B1,IL-7Ra,1,1000,0.0432,1.984e-06,1.961e-07,262000.0,18850.0,0.5197,0.03522,0.1164,0.0014,0.7817,0.039,33.5,0.0273,0.9655,1.6e-06,0.1156,0.9932,,IL7Ra_binder_design_37
x,34,-9165123,C7,SA (Streptavidin),,,C2,C7,E7,C2,C1,IL-7Ra,1,200,0.0149,1.984e-06,1.961e-07,262000.0,18850.0,0.5197,0.03522,0.1164,0.0014,0.5721,0.0107,9.2,0.0273,0.9655,1.6e-06,0.1156,0.9932,,IL7Ra_binder_design_37
x,35,-9165123,D7,SA (Streptavidin),,,D2,D7,E7,D2,D1,IL-7Ra,1,40,0.0074,1.984e-06,1.961e-07,262000.0,18850.0,0.5197,0.03522,0.1164,0.0014,0.5302,0.0023,2.0,0.0273,0.9655,1.6e-06,0.1156,0.9932,,IL7Ra_binder_design_37
x,36,-8992723,E7,SA (Streptavidin),,,E2,E7,B9,E2,E1,IL-7Ra,1,5000,0.0783,9.707e-07,2.948e-08,36190.0,907.7,0.03513,0.0006012,0.0874,0.0007,0.2161,0.0732,83.7,0.0177,0.9662,8.7e-07,0.0905,0.9763,,IL7Ra_binder_design_70
x,37,-8992723,F7,SA (Streptavidin),,,F2,F7,B9,F2,F1,IL-7Ra,1,1000,0.0449,9.707e-07,2.948e-08,36190.0,907.7,0.03513,0.0006012,0.0874,0.0007,0.07132,0.0443,50.7,0.0177,0.9662,8.7e-07,0.0905,0.9763,,IL7Ra_binder_design_70
x,38,-8992723,G7,SA (Streptavidin),,,G2,G7,B9,G2,G1,IL-7Ra,1,200,0.0196,9.707e-07,2.948e-08,36190.0,907.7,0.03513,0.0006012,0.0874,0.0007,0.04237,0.0149,17.1,0.0177,0.9662,8.7e-07,0.0905,0.9763,,IL7Ra_binder_design_70
x,39,-8992723,H7,SA (Streptavidin),,,H2,H7,B9,H2,H1,IL-7Ra,1,40,0.0106,9.707e-07,2.948e-08,36190.0,907.7,0.03513,0.0006012,0.0874,0.0007,0.03658,0.0035,4.0,0.0177,0.9662,8.7e-07,0.0905,0.9763,,IL7Ra_binder_design_70
x,40,-13797661,A8,SA (Streptavidin),,,A2,A8,D9,A2,A1,IL-7Ra,1,5000,0.1195,4.65e-07,2.478e-08,667300.0,26080.0,0.3103,0.01124,0.1298,0.0006,3.647,0.1187,91.5,0.0343,0.9834,4.3e-07,0.1295,0.9955,,IL7Ra_binder_design_52
x,41,-13797661,B8,SA (Streptavidin),,,B2,B8,D9,B2,B1,IL-7Ra,1,1000,0.0905,4.65e-07,2.478e-08,667300.0,26080.0,0.3103,0.01124,0.1298,0.0006,0.9776,0.0886,68.3,0.0343,0.9834,4.3e-07,0.1295,0.9955,,IL7Ra_binder_design_52
x,42,-13797661,C8,SA (Streptavidin),,,C2,C8,D9,C2,C1,IL-7Ra,1,200,0.0394,4.65e-07,2.478e-08,667300.0,26080.0,0.3103,0.01124,0.1298,0.0006,0.4438,0.039,30.1,0.0343,0.9834,4.3e-07,0.1295,0.9955,,IL7Ra_binder_design_52
x,43,-13797661,D8,SA (Streptavidin),,,D2,D8,D9,D2,D1,IL-7Ra,1,40,0.0162,4.65e-07,2.478e-08,667300.0,26080.0,0.3103,0.01124,0.1298,0.0006,0.337,0.0103,7.9,0.0343,0.9834,4.3e-07,0.1295,0.9955,,IL7Ra_binder_design_52
x,44,-10209280,E8,SA (Streptavidin),,,E2,E8,G9,E2,E1,IL-7Ra,1,5000,0.1092,4.625e-07,2.146e-08,80230.0,3061.0,0.0371,0.0009789,0.107,0.0011,0.4382,0.0979,91.5,0.082,0.921,4.7e-07,0.116,0.9822,,IL7Ra_binder_design_35
x,45,-10209280,F8,SA (Streptavidin),,,F2,F8,G9,F2,F1,IL-7Ra,1,1000,0.0721,4.625e-07,2.146e-08,80230.0,3061.0,0.0371,0.0009789,0.107,0.0011,0.1173,0.0732,68.4,0.082,0.921,4.7e-07,0.116,0.9822,,IL7Ra_binder_design_35
x,46,-10209280,G8,SA (Streptavidin),,,G2,G8,G9,G2,G1,IL-7Ra,1,200,0.0388,4.625e-07,2.146e-08,80230.0,3061.0,0.0371,0.0009789,0.107,0.0011,0.05315,0.0323,30.2,0.082,0.921,4.7e-07,0.116,0.9822,,IL7Ra_binder_design_35
x,47,-10209280,H8,SA (Streptavidin),,,H2,H8,G9,H2,H1,IL-7Ra,1,40,0.0133,4.625e-07,2.146e-08,80230.0,3061.0,0.0371,0.0009789,0.107,0.0011,0.04031,0.0085,8.0,0.082,0.921,4.7e-07,0.116,0.9822,,IL7Ra_binder_design_35
x,48,-14437950,A9,SA (Streptavidin),,,A2,A9,H10,A2,A1,IL-7Ra,1,5000,0.099,1.188e-07,6.425e-09,774400.0,32900.0,0.09204,0.003076,0.104,0.0007,3.964,0.1016,97.7,0.082,0.9418,1.1e-07,0.1071,0.9383,,IL7Ra_binder_design_68
x,49,-14437950,B9,SA (Streptavidin),,,B2,B9,H10,B2,B1,IL-7Ra,1,1000,0.1069,1.188e-07,6.425e-09,774400.0,32900.0,0.09204,0.003076,0.104,0.0007,0.8664,0.0929,89.4,0.082,0.9418,1.1e-07,0.1071,0.9383,,IL7Ra_binder_design_68
x,50,-14437950,C9,SA (Streptavidin),,,C2,C9,H10,C2,C1,IL-7Ra,1,200,0.0622,1.188e-07,6.425e-09,774400.0,32900.0,0.09204,0.003076,0.104,0.0007,0.2469,0.0652,62.7,0.082,0.9418,1.1e-07,0.1071,0.9383,,IL7Ra_binder_design_68
x,51,-14437950,D9,SA (Streptavidin),,,D2,D9,H10,D2,D1,IL-7Ra,1,40,0.0336,1.188e-07,6.425e-09,774400.0,32900.0,0.09204,0.003076,0.104,0.0007,0.123,0.0262,25.2,0.082,0.9418,1.1e-07,0.1071,0.9383,,IL7Ra_binder_design_68
x,52,-4545552,E9,SA (Streptavidin),,,E2,E9,D11,E2,E1,IL-7Ra,1,5000,0.0642,1.603e-06,4.945e-07,852500.0,187600.0,1.367,0.2954,0.0819,0.0015,5.629,0.062,75.7,0.0413,0.8911,8.9e-07,0.0726,0.8353,,IL7Ra_binder_design_62
x,53,-4545552,F9,SA (Streptavidin),,,F2,F9,D11,F2,F1,IL-7Ra,1,1000,0.031,1.603e-06,4.945e-07,852500.0,187600.0,1.367,0.2954,0.0819,0.0015,2.219,0.0315,38.4,0.0413,0.8911,8.9e-07,0.0726,0.8353,,IL7Ra_binder_design_62
x,54,-4545552,G9,SA (Streptavidin),,,G2,G9,D11,G2,G1,IL-7Ra,1,200,0.0203,1.603e-06,4.945e-07,852500.0,187600.0,1.367,0.2954,0.0819,0.0015,1.537,0.0091,11.1,0.0413,0.8911,8.9e-07,0.0726,0.8353,,IL7Ra_binder_design_62
x,55,-4545552,H9,SA (Streptavidin),,,H2,H9,D11,H2,H1,IL-7Ra,1,40,0.0146,1.603e-06,4.945e-07,852500.0,187600.0,1.367,0.2954,0.0819,0.0015,1.401,0.002,2.4,0.0413,0.8911,8.9e-07,0.0726,0.8353,,IL7Ra_binder_design_62
x,56,-3277662,A10,SA (Streptavidin),,,A2,A10,E11,A2,A1,IL-7Ra,1,5000,0.056,7.875e-07,5.715e-08,69520.0,4040.0,0.05475,0.00238,0.0573,0.0009,0.4023,0.0495,86.4,0.0358,0.8659,6.3e-07,0.061,0.9614,,IL7Ra_binder_design_9
x,57,-3277662,B10,SA (Streptavidin),,,B2,B10,E11,B2,B1,IL-7Ra,1,1000,0.0327,7.875e-07,5.715e-08,69520.0,4040.0,0.05475,0.00238,0.0573,0.0009,0.1243,0.032,55.9,0.0358,0.8659,6.3e-07,0.061,0.9614,,IL7Ra_binder_design_9
x,58,-3277662,C10,SA (Streptavidin),,,C2,C10,E11,C2,C1,IL-7Ra,1,200,0.0203,7.875e-07,5.715e-08,69520.0,4040.0,0.05475,0.00238,0.0573,0.0009,0.06865,0.0116,20.3,0.0358,0.8659,6.3e-07,0.061,0.9614,,IL7Ra_binder_design_9
x,59,-3277662,D10,SA (Streptavidin),,,D2,D10,E11,D2,D1,IL-7Ra,1,40,0.0022,7.875e-07,5.715e-08,69520.0,4040.0,0.05475,0.00238,0.0573,0.0009,0.05753,0.0028,4.8,0.0358,0.8659,6.3e-07,0.061,0.9614,,IL7Ra_binder_design_9
x,60,-2672170,E10,SA (Streptavidin),,,E2,E10,G11,E2,E1,IL-7Ra,1,5000,0.0971,1.616e-06,2.381e-07,424700.0,45150.0,0.6865,0.07,0.1199,0.0016,2.81,0.0906,75.6,0.0484,0.9425,1.4e-06,0.1215,0.933,,IL7Ra_binder_design_45
x,61,-2672170,F10,SA (Streptavidin),,,F2,F10,G11,F2,F1,IL-7Ra,1,1000,0.0439,1.616e-06,2.381e-07,424700.0,45150.0,0.6865,0.07,0.1199,0.0016,1.111,0.0458,38.2,0.0484,0.9425,1.4e-06,0.1215,0.933,,IL7Ra_binder_design_45
x,62,-2672170,G10,SA (Streptavidin),,,G2,G10,G11,G2,G1,IL-7Ra,1,200,0.0261,1.616e-06,2.381e-07,424700.0,45150.0,0.6865,0.07,0.1199,0.0016,0.7714,0.0132,11.0,0.0484,0.9425,1.4e-06,0.1215,0.933,,IL7Ra_binder_design_45
x,63,-2672170,H10,SA (Streptavidin),,,H2,H10,G11,H2,H1,IL-7Ra,1,40,0.0136,1.616e-06,2.381e-07,424700.0,45150.0,0.6865,0.07,0.1199,0.0016,0.7035,0.0029,2.4,0.0484,0.9425,1.4e-06,0.1215,0.933,,IL7Ra_binder_design_45
x,64,-14261055,A11,SA (Streptavidin),,,A2,A11,A12,A2,A1,IL-7Ra,1,5000,0.1172,5.799e-07,5.357e-08,517800.0,35110.0,0.3003,0.01884,0.1258,0.0011,2.89,0.1127,89.6,0.0801,0.9445,4.3e-07,0.1251,0.9557,,IL7Ra_binder_design_26
x,65,-14261055,B11,SA (Streptavidin),,,B2,B11,A12,B2,B1,IL-7Ra,1,1000,0.0841,5.799e-07,5.357e-08,517800.0,35110.0,0.3003,0.01884,0.1258,0.0011,0.8181,0.0796,63.3,0.0801,0.9445,4.3e-07,0.1251,0.9557,,IL7Ra_binder_design_26
x,66,-14261055,C11,SA (Streptavidin),,,C2,C11,A12,C2,C1,IL-7Ra,1,200,0.0366,5.799e-07,5.357e-08,517800.0,35110.0,0.3003,0.01884,0.1258,0.0011,0.4039,0.0323,25.6,0.0801,0.9445,4.3e-07,0.1251,0.9557,,IL7Ra_binder_design_26
x,67,-14261055,D11,SA (Streptavidin),,,D2,D11,A12,D2,D1,IL-7Ra,1,40,0.0254,5.799e-07,5.357e-08,517800.0,35110.0,0.3003,0.01884,0.1258,0.0011,0.321,0.0081,6.5,0.0801,0.9445,4.3e-07,0.1251,0.9557,,IL7Ra_binder_design_26
x,68,-3721216,E11,SA (Streptavidin),,,E2,E11,B12,E2,E1,IL-7Ra,1,5000,0.1195,2.589e-08,7.8e-10,1338000.0,35400.0,0.03464,0.0004989,0.1092,0.0005,6.724,0.1086,99.5,0.0611,0.9651,2.7e-08,0.1171,0.9774,,IL7Ra_binder_design_55
x,69,-3721216,F11,SA (Streptavidin),,,F2,F11,B12,F2,F1,IL-7Ra,1,1000,0.1138,2.589e-08,7.8e-10,1338000.0,35400.0,0.03464,0.0004989,0.1092,0.0005,1.373,0.1064,97.5,0.0611,0.9651,2.7e-08,0.1171,0.9774,,IL7Ra_binder_design_55
x,70,-3721216,G11,SA (Streptavidin),,,G2,G11,B12,G2,G1,IL-7Ra,1,200,0.0986,2.589e-08,7.8e-10,1338000.0,35400.0,0.03464,0.0004989,0.1092,0.0005,0.3022,0.0967,88.5,0.0611,0.9651,2.7e-08,0.1171,0.9774,,IL7Ra_binder_design_55
x,71,-3721216,H11,SA (Streptavidin),,,H2,H11,B12,H2,H1,IL-7Ra,1,40,0.0713,2.589e-08,7.8e-10,1338000.0,35400.0,0.03464,0.0004989,0.1092,0.0005,0.08816,0.0663,60.7,0.0611,0.9651,2.7e-08,0.1171,0.9774,,IL7Ra_binder_design_55
x,72,-14513767,A12,SA (Streptavidin),,,A2,A12,D12,A2,A1,IL-7Ra,1,5000,0.1287,2.132e-07,1.035e-08,660300.0,24380.0,0.1408,0.004438,0.1321,0.0007,3.442,0.1267,95.9,0.0697,0.9701,1.9e-07,0.1366,0.9962,,IL7Ra_binder_design_88
x,73,-14513767,B12,SA (Streptavidin),,,B2,B12,D12,B2,B1,IL-7Ra,1,1000,0.1184,2.132e-07,1.035e-08,660300.0,24380.0,0.1408,0.004438,0.1321,0.0007,0.8011,0.1089,82.4,0.0697,0.9701,1.9e-07,0.1366,0.9962,,IL7Ra_binder_design_88
x,74,-14513767,C12,SA (Streptavidin),,,C2,C12,D12,C2,C1,IL-7Ra,1,200,0.0684,2.132e-07,1.035e-08,660300.0,24380.0,0.1408,0.004438,0.1321,0.0007,0.2728,0.0639,48.4,0.0697,0.9701,1.9e-07,0.1366,0.9962,,IL7Ra_binder_design_88
x,75,-14513767,D12,SA (Streptavidin),,,D2,D12,D12,D2,D1,IL-7Ra,1,40,0.0215,2.132e-07,1.035e-08,660300.0,24380.0,0.1408,0.004438,0.1321,0.0007,0.1672,0.0209,15.8,0.0697,0.9701,1.9e-07,0.1366,0.9962,,IL7Ra_binder_design_88
x,76,-3221939,E12,SA (Streptavidin),,,E2,E12,F12,E2,E1,IL-7Ra,1,5000,0.1025,1.48e-06,2.257e-07,442800.0,48760.0,0.6552,0.06918,0.1246,0.0017,2.869,0.0962,77.2,0.0605,0.9323,1.2e-06,0.1257,0.9246,,IL7Ra_binder_design_17
x,77,-3221939,F12,SA (Streptavidin),,,F2,F12,F12,F2,F1,IL-7Ra,1,1000,0.0494,1.48e-06,2.257e-07,442800.0,48760.0,0.6552,0.06918,0.1246,0.0017,1.098,0.0503,40.3,0.0605,0.9323,1.2e-06,0.1257,0.9246,,IL7Ra_binder_design_17
x,78,-3221939,G12,SA (Streptavidin),,,G2,G12,F12,G2,G1,IL-7Ra,1,200,0.0251,1.48e-06,2.257e-07,442800.0,48760.0,0.6552,0.06918,0.1246,0.0017,0.7437,0.0148,11.9,0.0605,0.9323,1.2e-06,0.1257,0.9246,,IL7Ra_binder_design_17
x,79,-3221939,H12,SA (Streptavidin),,,H2,H12,F12,H2,H1,IL-7Ra,1,40,0.0188,1.48e-06,2.257e-07,442800.0,48760.0,0.6552,0.06918,0.1246,0.0017,0.6729,0.0033,2.6,0.0605,0.9323,1.2e-06,0.1257,0.9246,,IL7Ra_binder_design_17
